Date,Count,Top,BufferRule,Type,Tickers,Weights
2006-09-18,10,QCOM,False,Rebal,QCOM|AAPL|CSCO|INTC|AMGN|DELL|SBUX|EBAY|GILD|YHOO,0.170564|0.152559|0.126509|0.124050|0.110171|0.072537|0.071364|0.065093|0.058577|0.048576
2006-12-18,14,QCOM,False,Recon,QCOM|AAPL|CSCO|INTC|AMGN|CMCSA|ORCL|GEN|DELL|EBAY|SBUX|BBRY|GENZ|GILD,0.125292|0.121045|0.104900|0.090682|0.075884|0.074850|0.065539|0.056047|0.054621|0.053932|0.052778|0.045156|0.039731|0.039542
2007-03-19,14,AAPL,False,Rebal,AAPL|MSFT|QCOM|CSCO|GOOG|ORCL|INTC|GILD|AMGN|SBUX|CMCSA|EBAY|SHLD|GENZ,0.150981|0.131522|0.128267|0.076808|0.074076|0.060186|0.059021|0.052706|0.050832|0.049283|0.047854|0.045423|0.038777|0.034263
2007-06-18,14,AAPL,False,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|ORCL|GILD|CMCSA|AMGN|EBAY|SBUX|SHLD|BBRY,0.184542|0.128809|0.113030|0.075986|0.070761|0.066816|0.061735|0.053392|0.046035|0.044858|0.040358|0.039106|0.038150|0.036421
2007-09-24,14,AAPL,False,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|ORCL|BBRY|GILD|EBAY|AMGN|SHLD|CMCSA|SBUX,0.202354|0.113966|0.103233|0.077496|0.076690|0.066746|0.062878|0.054253|0.048794|0.045521|0.039145|0.037393|0.036024|0.035507
2007-12-24,11,AAPL,False,Recon,AAPL|MSFT|QCOM|GOOG|INTC|CSCO|BBRY|ORCL|GILD|EBAY|SHLD,0.265846|0.140942|0.098277|0.093680|0.069044|0.067700|0.066372|0.064357|0.056398|0.039508|0.037876
2008-03-24,11,AAPL,False,Rebal,AAPL|MSFT|QCOM|CSCO|GOOG|BBRY|INTC|ORCL|EBAY|GILD|CMCSA,0.243189|0.114368|0.101288|0.092408|0.089814|0.083757|0.067698|0.058014|0.051192|0.050396|0.047877
2008-06-23,11,AAPL,False,Rebal,AAPL|QCOM|MSFT|BBRY|GOOG|CSCO|INTC|ORCL|GILD|EBAY|CMCSA,0.270709|0.109249|0.098727|0.096107|0.095367|0.079364|0.061721|0.055319|0.049896|0.042714|0.040828
2008-09-22,11,AAPL,False,Rebal,AAPL|QCOM|MSFT|GOOG|CSCO|BBRY|INTC|ORCL|CMCSA|GILD|EBAY,0.245845|0.126401|0.108013|0.090285|0.089648|0.078872|0.061661|0.059376|0.051035|0.048885|0.039980
2008-12-22,11,AAPL,False,Recon,AAPL|QCOM|MSFT|CSCO|GOOG|GILD|ORCL|INTC|AMGN|CMCSA|TEVA,0.216807|0.129663|0.110685|0.085596|0.084060|0.074132|0.070998|0.064984|0.062762|0.054479|0.045834
