Date,Count,Top,Type,Tickers,Weights
2007-06-18,14,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|ORCL|GILD|CMCSA|AMGN|EBAY|SBUX|SHLD|BBRY,0.184542|0.128809|0.113030|0.075986|0.070761|0.066816|0.061735|0.053392|0.046035|0.044858|0.040358|0.039106|0.038150|0.036421
2007-09-24,14,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|ORCL|BBRY|GILD|EBAY|AMGN|SHLD|CMCSA|SBUX,0.202354|0.113966|0.103233|0.077496|0.076690|0.066746|0.062878|0.054253|0.048794|0.045521|0.039145|0.037393|0.036024|0.035507
2007-12-24,11,AAPL,Recon,AAPL|MSFT|QCOM|GOOG|INTC|CSCO|BBRY|ORCL|GILD|EBAY|SHLD,0.265846|0.140942|0.098277|0.093680|0.069044|0.067700|0.066372|0.064357|0.056398|0.039508|0.037876
2008-03-24,11,AAPL,Rebal,AAPL|MSFT|QCOM|CSCO|GOOG|BBRY|INTC|ORCL|EBAY|GILD|CMCSA,0.243189|0.114368|0.101288|0.092408|0.089814|0.083757|0.067698|0.058014|0.051192|0.050396|0.047877
2008-06-23,11,AAPL,Rebal,AAPL|QCOM|MSFT|BBRY|GOOG|CSCO|INTC|ORCL|GILD|EBAY|CMCSA,0.270709|0.109249|0.098727|0.096107|0.095367|0.079364|0.061721|0.055319|0.049896|0.042714|0.040828
2008-09-22,11,AAPL,Rebal,AAPL|QCOM|MSFT|GOOG|CSCO|BBRY|INTC|ORCL|CMCSA|GILD|EBAY,0.245845|0.126401|0.108013|0.090285|0.089648|0.078872|0.061661|0.059376|0.051035|0.048885|0.039980
2008-12-22,11,AAPL,Recon,AAPL|QCOM|MSFT|CSCO|GOOG|GILD|ORCL|INTC|AMGN|CMCSA|TEVA,0.216807|0.129663|0.110685|0.085596|0.084060|0.074132|0.070998|0.064984|0.062762|0.054479|0.045834
2009-03-23,11,AAPL,Rebal,AAPL|QCOM|MSFT|GOOG|CSCO|ORCL|INTC|GILD|TEVA|BBRY|CMCSA,0.243879|0.139562|0.131593|0.087219|0.078510|0.068914|0.065157|0.054012|0.046159|0.045451|0.039543
2009-06-22,11,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|ORCL|BBRY|INTC|GILD|GENZ|CELG,0.260573|0.140838|0.134190|0.085343|0.071279|0.063309|0.057733|0.055590|0.045862|0.043222|0.042064
2009-09-21,11,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|BBRY|INTC|ORCL|GENZ|CELG|GILD,0.291681|0.128617|0.113729|0.087009|0.076450|0.059610|0.058310|0.057280|0.046040|0.042695|0.038579
2009-12-21,10,AAPL,Recon,AAPL|MSFT|QCOM|GOOG|CSCO|ORCL|INTC|BBRY|AMZN|CELG,0.303844|0.150701|0.111724|0.101353|0.073960|0.062887|0.058416|0.047741|0.045695|0.043678
2010-03-22,10,AAPL,Rebal,AAPL|MSFT|QCOM|GOOGL|CSCO|ORCL|BBRY|GILD|INTC|AMZN,0.336725|0.106616|0.103654|0.099941|0.074150|0.062140|0.061271|0.059288|0.057279|0.038937
2010-06-21,10,AAPL,Rebal,AAPL|MSFT|QCOM|GOOGL|CSCO|ORCL|INTC|BBRY|TEVA|GILD,0.350000|0.103390|0.101535|0.096444|0.072518|0.061934|0.060521|0.053721|0.050990|0.048948
2010-09-20,10,AAPL,Rebal,AAPL|QCOM|MSFT|GOOGL|ORCL|CSCO|INTC|TEVA|AMZN|GILD,0.350000|0.119079|0.098494|0.097022|0.071453|0.065345|0.052679|0.051187|0.048079|0.046662
2010-12-20,12,AAPL,Recon,AAPL|QCOM|GOOGL|MSFT|ORCL|INTC|CSCO|AMZN|BBRY|CMCSA|GILD|TEVA,0.317910|0.114865|0.094940|0.090583|0.068931|0.049767|0.049269|0.048683|0.043153|0.041006|0.040755|0.040137
2011-03-21,12,AAPL,Rebal,AAPL|QCOM|GOOGL|MSFT|ORCL|AMZN|CSCO|INTC|TEVA|BIDU|GILD|SBUX,0.350000|0.107269|0.092755|0.082140|0.067767|0.055063|0.045537|0.043631|0.041595|0.040165|0.038007|0.036072
2011-06-20,12,AAPL,Rebal,AAPL|QCOM|MSFT|GOOGL|ORCL|AMZN|INTC|TEVA|CSCO|BIDU|GILD|DTV,0.350000|0.109524|0.081466|0.079523|0.070324|0.064083|0.047385|0.041708|0.040579|0.039077|0.038612|0.037719
