Date,Count,Top,Type,Tickers,Weights
2006-12-31,13,QCOM,Recon,QCOM|POAI|CSCO|INTC|AMGN|ORCL|STN|SBUX|EBAY|CMCSV|ALGN|GILD|STHO,0.135854|0.123584|0.116403|0.098779|0.082955|0.070312|0.063732|0.057779|0.056077|0.055808|0.050858|0.045120|0.042739
2007-03-31,13,POAI,Rebal,POAI|MSFT|QCOM|CSCO|ORCL|INTC|GILD|CMCSV|SBUX|AMGN|EBAY|STN|STHO,0.150665|0.141359|0.136861|0.080021|0.068166|0.063411|0.061147|0.057949|0.053439|0.051548|0.050964|0.042602|0.041867
2007-06-30,14,POAI,Rebal,POAI|MSFT|QCOM|CSCO|INTC|ORCL|CMCSV|GILD|AMGN|STN|EBAY|STHO|SBUX|TEVJF,0.149873|0.136309|0.126933|0.079347|0.071899|0.067362|0.057644|0.056381|0.046362|0.046291|0.044970|0.041647|0.040644|0.034338
2007-09-30,14,POAI,Rebal,POAI|MSFT|QCOM|CSCO|INTC|ORCL|CMCSV|GILD|EBAY|AMGN|STN|STHO|SBUX|TEVJF,0.152372|0.128651|0.116745|0.088806|0.074031|0.069614|0.058605|0.055875|0.051303|0.044629|0.043938|0.042342|0.038181|0.034910
2007-12-31,12,MSFT,Recon,MSFT|POAI|QCOM|INTC|ORCL|CSCO|GILD|CMCSV|STN|EBAY|STHO|AMGN,0.166888|0.162596|0.116725|0.082005|0.077683|0.077637|0.067302|0.062538|0.055554|0.046690|0.045183|0.039200
2008-03-31,12,AAPL,Rebal,AAPL|MSFT|QCOM|CSCO|INTC|ORCL|GILD|EBAY|CMCSV|TEVJF|CLNNW|AMGN,0.273547|0.121699|0.113863|0.094958|0.070864|0.059754|0.057252|0.056045|0.046128|0.035733|0.035557|0.034601
2008-06-30,12,AAPL,Rebal,AAPL|QCOM|MSFT|CSCO|INTC|ORCL|GILD|EBAY|CMCSV|AMGN|TEVJF|CLNNW,0.301126|0.116633|0.111704|0.086500|0.068207|0.060524|0.055501|0.048427|0.044993|0.036847|0.034854|0.034683
2008-09-30,13,AAPL,Rebal,AAPL|QCOM|MSFT|CSCO|INTC|ORCL|GILD|AMGN|EBAY|CMCSV|AMZN|TEVJF|CLNNW,0.228772|0.126796|0.121776|0.093896|0.066980|0.065513|0.053530|0.051828|0.044383|0.043406|0.036036|0.033625|0.033460
2008-12-31,8,AAPL,Recon,AAPL|QCOM|MSFT|CSCO|GILD|ORCL|INTC|AMGN,0.261984|0.162010|0.136181|0.103460|0.091491|0.087217|0.080644|0.077013
2009-03-31,11,AAPL,Rebal,AAPL|QCOM|MSFT|CSCO|ORCL|INTC|GILD|TEVJF|CLNNW|CMCSV|AMGN,0.252772|0.148489|0.139992|0.082309|0.072431|0.066981|0.058137|0.046489|0.046031|0.045644|0.040723
2009-06-30,10,AAPL,Rebal,AAPL|MSFT|QCOM|CSCO|ORCL|INTC|GILD|TEVJF|CLNNW|CMCSV,0.291547|0.155180|0.147416|0.077921|0.073279|0.063317|0.050046|0.047543|0.047074|0.046678
2009-09-30,11,AAPL,Rebal,AAPL|MSFT|QCOM|CSCO|INTC|ORCL|EBAY|TEVJF|CLNNW|CMCSV|GILD,0.313387|0.139474|0.121613|0.081239|0.062295|0.059033|0.046248|0.045651|0.045201|0.044821|0.041038
2009-12-31,8,AAPL,Recon,AAPL|MSFT|QCOM|CSCO|ORCL|INTC|AMZN|TEVJF,0.350000|0.176948|0.133813|0.088059|0.074240|0.069740|0.054424|0.052775
2010-03-31,11,AAPL,Rebal,AAPL|QCOM|MSFT|CSCO|ORCL|INTC|GILD|TEVJF|AMZN|AMGN|CMCSA,0.350000|0.110272|0.107741|0.075006|0.063833|0.058628|0.057178|0.055176|0.041379|0.041017|0.039770
2010-06-30,12,AAPL,Rebal,AAPL|QCOM|MSFT|CSCO|ORCL|INTC|TEVJF|GILD|CMCSA|AMGN|CLNNW|AMZN,0.350000|0.098943|0.096953|0.070022|0.060875|0.058748|0.056014|0.049155|0.042046|0.041114|0.038158|0.037973
2010-09-30,12,AAPL,Rebal,AAPL|QCOM|MSFT|ORCL|CSCO|TEVJF|INTC|AMZN|GILD|CMCSA|CLNNW|AMGN,0.350000|0.118704|0.090113|0.066302|0.062508|0.056033|0.050760|0.047415|0.044355|0.038221|0.038171|0.037417
2010-12-31,9,AAPL,Recon,AAPL|QCOM|MSFT|ORCL|TEVJF|CSCO|INTC|AMZN|CMCSA,0.350000|0.144330|0.114113|0.085514|0.068814|0.063768|0.061882|0.060012|0.051567
2011-03-31,11,AAPL,Rebal,AAPL|QCOM|MSFT|ORCL|AMZN|TEVJF|CSCO|INTC|GILD|SBUX|CMCSA,0.350000|0.124393|0.093388|0.081782|0.068382|0.053750|0.051116|0.049465|0.045476|0.042815|0.039432
2011-06-30,11,AAPL,Rebal,AAPL|QCOM|MSFT|ORCL|AMZN|INTC|TEVJF|CSCO|SBUX|GILD|CMCSA,0.350000|0.126250|0.093964|0.078731|0.075779|0.053439|0.048675|0.045417|0.044827|0.043284|0.039635
2011-09-30,10,AAPL,Rebal,AAPL|QCOM|MSFT|AMZN|ORCL|INTC|CSCO|SBUX|GILD|TEVJF,0.350000|0.124201|0.103528|0.091644|0.078775|0.059432|0.051773|0.048584|0.046384|0.045678
2011-12-31,8,AAPL,Recon,AAPL|QCOM|MSFT|AMZN|ORCL|INTC|CSCO|SBUX,0.350000|0.156687|0.121546|0.081965|0.078705|0.076124|0.067739|0.067235
2012-03-31,7,AAPL,Rebal,AAPL|MSFT|ORCL|INTC|AMZN|QCOM|CSCO,0.350000|0.189045|0.122525|0.098146|0.085499|0.078640|0.076145
2012-06-30,7,AAPL,Rebal,AAPL|MSFT|ORCL|AMZN|INTC|QCOM|CSCO,0.350000|0.188483|0.130626|0.100709|0.097869|0.067495|0.064819
2012-09-30,7,AAPL,Rebal,AAPL|MSFT|ORCL|AMZN|INTC|QCOM|CSCO,0.350000|0.179657|0.134952|0.109169|0.081704|0.074009|0.070509
2012-12-31,6,AAPL,Recon,AAPL|MSFT|ORCL|AMZN|INTC|CSCO,0.350000|0.187691|0.166267|0.124328|0.086722|0.084993
2013-03-31,7,AAPL,Rebal,AAPL|MSFT|ORCL|INTC|AMZN|QCOM|CSCO,0.350000|0.200862|0.107170|0.091142|0.088347|0.082932|0.079547
2013-06-30,7,AAPL,Rebal,AAPL|MSFT|INTC|CSCO|AMZN|QCOM|TSLA,0.350000|0.223679|0.093494|0.085543|0.084326|0.069710|0.093247
2013-09-30,7,AAPL,Rebal,AAPL|MSFT|ORCL|AMZN|INTC|CSCO|QCOM,0.350000|0.212933|0.099189|0.093143|0.087615|0.081356|0.075764
2013-12-31,5,AAPL,Recon,AAPL|MSFT|AMZN|ORCL|INTC,0.350000|0.272644|0.134313|0.129808|0.113235
2014-03-31,9,AAPL,Rebal,AAPL|MSFT|CSCO|QCOM|INTC|AMZN|CMCSA|AMGN|GILD,0.305769|0.203136|0.083424|0.081656|0.078583|0.077902|0.058391|0.056508|0.054632
2014-06-30,9,AAPL,Rebal,AAPL|MSFT|INTC|CSCO|QCOM|AMZN|GILD|CMCSA|AMGN,0.336353|0.187841|0.085647|0.084173|0.074409|0.067892|0.057696|0.056773|0.049217
2014-09-30,9,AAPL,Rebal,AAPL|MSFT|INTC|CSCO|GILD|QCOM|AMZN|AMGN|CMCSA,0.336756|0.193098|0.089276|0.079543|0.068070|0.064908|0.061937|0.053925|0.052485
